Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"JP1848","False","True","56132","Asian Art","Woodblock print","冨嶽三十六景　常州牛掘|Ushibori in Hitachi Province (Jōshū Ushibori), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","H. 9 13/16 in. (24.9 cm); W. 13 7/8 in. (35.2 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56132","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1849","False","True","56133","Asian Art","Woodblock print","冨嶽三十六景　信州諏訪湖|Lake Suwa in Shinano Province (Shinshū Suwako), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","H. 10 1/8 in. (25.7 cm); W. 14 13/16 in. (37.6 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56133","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1850","False","True","56135","Asian Art","Woodblock print","冨嶽三十六景　東海道品川御殿山の不二|Fuji from Gotenyama at Shinagawa on the Tōkaidō (Tōkaidō Shinagawa Gotenyama no Fuji), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1830","1842","Polychrome woodblock print; ink and color on paper","H. 9 1/2 in. (24.1 cm); W. 14 1/8 in. (35.9 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56135","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1852","False","True","56136","Asian Art","Woodblock print","百人一首　乳母かゑとき　猿丸太夫|Poem by Sarumaru Dayū, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1839","1839","1839","Polychrome woodblock print; ink and color on paper","H. 10 in. (25.4 cm); W. 14 3/8 in. (36.5 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56136","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2922","False","True","56137","Asian Art","Woodblock print","雪月花　淀川|Moonlight on the Yodo River (Yodogawa), from the series Snow, Moon, and Flowers (Setsugekka)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1833","1823","1843","Polychrome woodblock print; ink and color on paper","9 7/8 x 14 7/8 in. (25.1 x 37.8 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56137","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2923","False","True","56138","Asian Art","Woodblock print","雪月花　吉野|Cherry Blossoms at Yoshino (Yoshino), from the series Snow, Moon, and Flowers (Setsugekka)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1833","1823","1843","Polychrome woodblock print; ink and color on paper","9 7/8 x 14 5/8 in. (25.1 x 37.1 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56138","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2924","False","True","56139","Asian Art","Woodblock print","諸國瀧廻リ　下野黒髪山 きりふりの滝|Kirifuri Waterfall at Kurokami Mountain in Shimotsuke (Shimotsuke Kurokamiyama Kirifuri no taki), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1832","1827","1837","Polychrome woodblock print; ink and color on paper","14 5/8 x 10 5/16 in. (37.1 x 26.2 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56139","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2925","False","True","56140","Asian Art","Woodblock print","諸國瀧廻リ　木曾海道小野ノ瀑布|Ono Waterfall on the Kisokaidō (Kisokaidō Ono no bakufu), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1833","1823","1843","Polychrome woodblock print; ink and color on paper","14 3/4 x 10 1/4 in. (37.5 x 26 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56140","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2926","False","True","56141","Asian Art","Woodblock print","諸國瀧廻リ　東海道坂ノ下 清瀧くわんおん|Kiyotaki Kannon Waterfall at Sakanoshita on the Tōkaidō (Tōkaidō Sakanoshita Kiyotaki kannon), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1832","1822","1842","Polychrome woodblock print; ink and color on paper","14 5/8 x 10 1/4 in. (37.1 x 26 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56141","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2927","False","True","56142","Asian Art","Woodblock print","諸國瀧廻リ　和州吉野義経馬洗滝|The Waterfall Where Yoshitsune Washed His Horse at Yoshino in Yamato Province (Washū Yoshino Yoshitsune uma arai no taki), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1832","1822","1842","Polychrome woodblock print; ink and color on paper","14 5/8 x 10 1/4 in. (37.1 x 26 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56142","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
